Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,14,asymmetric,symmetric,0.3819456499526126
100% corpus,16,0.01,0.01,0.3578109224972066
100% corpus,16,0.01,0.31,0.42229192313582026
100% corpus,16,0.01,0.61,0.4467130245088473
100% corpus,16,0.01,0.9099999999999999,0.4507837046525933
100% corpus,16,0.01,symmetric,0.3779165134719691
100% corpus,16,0.31,0.01,0.35463194735368675
100% corpus,16,0.31,0.31,0.409316863034308
100% corpus,16,0.31,0.61,0.47139522626782293
100% corpus,16,0.31,0.9099999999999999,0.4970269711047856
100% corpus,16,0.31,symmetric,0.37145191784613873
100% corpus,16,0.61,0.01,0.35922651667454203
100% corpus,16,0.61,0.31,0.3749249245224495
100% corpus,16,0.61,0.61,0.43706903969262956
100% corpus,16,0.61,0.9099999999999999,0.4165385079470236
100% corpus,16,0.61,symmetric,0.4090231324753874
100% corpus,16,0.9099999999999999,0.01,0.38406516296428217
100% corpus,16,0.9099999999999999,0.31,0.4013599685630667
100% corpus,16,0.9099999999999999,0.61,0.39842250720237327
100% corpus,16,0.9099999999999999,0.9099999999999999,0.4432824690295081
100% corpus,16,0.9099999999999999,symmetric,0.4170300828881526
100% corpus,16,symmetric,0.01,0.3589945571983568
100% corpus,16,symmetric,0.31,0.415678345380333
100% corpus,16,symmetric,0.61,0.4029736651716046
100% corpus,16,symmetric,0.9099999999999999,0.4637278754659345
100% corpus,16,symmetric,symmetric,0.3795517010120422
100% corpus,16,asymmetric,0.01,0.3541341542236168
100% corpus,16,asymmetric,0.31,0.3954392014251086
100% corpus,16,asymmetric,0.61,0.37700480900842126
100% corpus,16,asymmetric,0.9099999999999999,0.4959690043231658
100% corpus,16,asymmetric,symmetric,0.39036714917224463
100% corpus,18,0.01,0.01,0.3691493314259371
100% corpus,18,0.01,0.31,0.43531168037968676
100% corpus,18,0.01,0.61,0.4566035902680485
100% corpus,18,0.01,0.9099999999999999,0.480839800967386
100% corpus,18,0.01,symmetric,0.3882806727042374
100% corpus,18,0.31,0.01,0.3460756315165069
100% corpus,18,0.31,0.31,0.4245591902915532
100% corpus,18,0.31,0.61,0.43681818000072253
100% corpus,18,0.31,0.9099999999999999,0.4725963091449562
100% corpus,18,0.31,symmetric,0.36300130689358634
100% corpus,18,0.61,0.01,0.3700471775110554
100% corpus,18,0.61,0.31,0.3876878683334045
100% corpus,18,0.61,0.61,0.410028882394595
100% corpus,18,0.61,0.9099999999999999,0.42904724696114815
100% corpus,18,0.61,symmetric,0.39685818707339376
100% corpus,18,0.9099999999999999,0.01,0.37281143763793295
100% corpus,18,0.9099999999999999,0.31,0.4074669705196869
100% corpus,18,0.9099999999999999,0.61,0.433808874582682
100% corpus,18,0.9099999999999999,0.9099999999999999,0.47844448525416866
